name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
Married... with Children,Sitcom,United States,11,00263,30,1987-04-05,1997-06-08
The WWE Experience,Action EntertainmentSports EntertainmentProfessional wrestling,United States,,00262,60,2004-05-02,
Rated K,MagazineLifestyle,Philippines,,00262,60,2004-05-14,
NYPD Blue,Drama,United States,12,00262,60,1993-09-21,2005-03-01
Paradise Beach,Soap opera,Australia,,00260, ,1993-01-011993,1994-01-011994
Mopatop's Shop,Children's,United KingdomUnited States,04,00260,10,1999-01-011999,2004-01-012004
The Tribe,Teen dramaScience Fiction,New Zealand,05,00260,25,1999-04-24,2003-09-06
King of the Hill,Sitcom,United States,13,00253,30,1997-01-12,
Happy Days,Sitcom,United States,11,00255,30,1974-01-14,1984-06-12
Bewitched,Sitcom,United States,08,00254,30,1964-09-17,1972-07-01
The Jeffersons,Sitcom,United States,11,00253,30,1975-01-18,1985-06-25
Gata Salvaje,Drama,Venezuela,01,00252, ,2002-05-16,2003-05-02
M*A*S*H,Sitcom,United States,11,00251,30,1972-09-17,1983-02-28
